% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.024	1	1	3	5	1	0	81	0	0	0
0.025	1	1	3	6	1	0	81	0	0	0
0.027	1	1	3	8	1	28	2196	0	0	0
0.03	1	1	4	1	1	28	2196	0	0	0
0.034	1	1	4	5	1	28	2196	0	0	0
0.039	1	1	4	10	1	28	2196	0	0	0
0.042	1	1	5	3	1	28	2196	0	0	0
0.047	1	1	5	8	1	28	2196	0	0	0
0.051	1	1	6	2	1	28	2196	0	0	0
0.054	1	1	6	5	1	28	2196	0	0	0
0.058	1	1	6	9	1	28	2196	0	0	0
0.062	1	1	7	3	1	28	2196	0	0	0
0.067	1	1	7	8	1	28	2196	0	0	0
0.076	1	1	8	7	1	28	2196	0	0	0
0.078	1	1	8	9	1	28	2196	0	0	0
0.081	1	1	9	2	1	28	2196	0	0	0
0.084	1	1	9	5	1	28	2196	0	0	0
0.088	1	1	9	9	1	28	2196	0	0	0
0.091	1	1	10	2	1	28	2196	0	0	0
0.099	1	1	10	10	1	28	2196	0	0	0
0.107	1	1	11	8	1	28	2196	0	0	0
0.115	1	1	12	6	1	28	2196	0	0	0
0.118	1	1	12	9	1	28	2196	0	0	0
0.121	1	1	13	2	1	28	2196	0	0	0
0.127	1	1	13	8	1	28	2196	0	0	0
0.13	1	1	14	1	1	28	2196	0	0	0
0.134	1	1	14	5	1	28	2196	0	0	0
0.137	1	1	14	8	1	28	2196	0	0	0
0.142	1	1	15	3	1	28	2196	0	0	0
0.147	1	1	15	8	1	28	2196	0	0	0
0.15	1	1	16	1	1	28	2196	0	0	0
0.154	1	1	16	5	1	28	2196	0	0	0
0.157	1	1	16	8	1	28	2196	0	0	0
0.16	1	1	17	1	1	28	2196	0	0	0
0.163	1	1	17	4	1	28	2196	0	0	0
0.166	1	1	17	7	1	28	2196	0	0	0
0.171	1	1	18	2	1	28	2196	0	0	0
0.174	1	1	18	5	1	28	2196	0	0	0
0.178	1	1	18	9	1	28	2196	0	0	0
